sequence,segment,model,dt_ms,n_frames,delta_FR,delta_anchor,err,median,dir,beta,secs
boxes_rotation,seg_B,thesis_cmax,20,75,0.02,0.1,7.26,5.28,8.24,0.945,177
boxes_rotation,seg_B,thesis_cmax,20,75,0.02,0.3,7.93,5.44,8.28,0.928,231
boxes_rotation,seg_B,thesis_cmax,20,75,0.02,0.5,8.11,5.63,8.29,0.925,161
boxes_rotation,seg_B,thesis_cmax,20,75,0.02,0.7,8.19,5.66,8.3,0.923,137
boxes_rotation,seg_B,thesis_cmax,20,75,0.02,0.9,8.24,5.67,8.3,0.922,247
boxes_rotation,seg_B,thesis_cmax,20,75,0.05,0.1,6.94,4.44,8.18,0.976,264
boxes_rotation,seg_B,thesis_cmax,20,75,0.05,0.3,7.41,5.23,8.25,0.941,217
boxes_rotation,seg_B,thesis_cmax,20,75,0.05,0.5,7.73,5.38,8.27,0.933,142
boxes_rotation,seg_B,thesis_cmax,20,75,0.05,0.7,7.9,5.41,8.28,0.929,140
boxes_rotation,seg_B,thesis_cmax,20,75,0.05,0.9,8.0,5.57,8.29,0.927,138
boxes_rotation,seg_B,thesis_cmax,20,75,0.1,0.1,7.72,5.37,8.14,1.013,192
boxes_rotation,seg_B,thesis_cmax,20,75,0.1,0.3,6.98,4.84,8.21,0.961,175
boxes_rotation,seg_B,thesis_cmax,20,75,0.1,0.5,7.28,5.23,8.24,0.946,124
boxes_rotation,seg_B,thesis_cmax,20,75,0.1,0.7,7.51,5.22,8.26,0.939,76
boxes_rotation,seg_B,thesis_cmax,20,75,0.1,0.9,7.67,5.25,8.27,0.934,79
boxes_rotation,seg_B,thesis_cmax,20,75,0.3,0.1,9.81,6.49,8.8,1.106,78
boxes_rotation,seg_B,thesis_cmax,20,75,0.3,0.3,7.75,5.37,8.13,1.013,77
boxes_rotation,seg_B,thesis_cmax,20,75,0.3,0.5,7.09,5.01,8.17,0.985,82
boxes_rotation,seg_B,thesis_cmax,20,75,0.3,0.7,6.94,4.44,8.19,0.97,84
boxes_rotation,seg_B,thesis_cmax,20,75,0.3,0.9,6.98,4.82,8.21,0.961,77
boxes_rotation,seg_B,thesis_cmax,20,75,0.5,0.1,11.13,7.3,9.24,1.151,77
boxes_rotation,seg_B,thesis_cmax,20,75,0.5,0.3,8.65,5.93,8.16,1.048,76
boxes_rotation,seg_B,thesis_cmax,20,75,0.5,0.5,7.76,5.37,8.12,1.013,76
boxes_rotation,seg_B,thesis_cmax,20,75,0.5,0.7,7.27,5.13,8.15,0.994,76
